ITEM,BASE,LIN,MAT,FORMA,CORRE,CODIGO,DESCRIPCION DE PRODUCTO,DISP,UND,PRECIO DETAL USD,PRECIO MAYOR USD,SALIDA,ENTRADA,STOCK,NUEVO PRECIO,COSTO,VALOR INVENTARIO,Unnamed: 18,Unnamed: 21
1,,,,,,CEMENTO,,,,*,,,,LINEA,0,0,0,,LAMINA
1.1,CEMENTO ,CEM,10,45,1,CEM1045001,CEMENTO GRIS ENSACADO,1971,Saco,9.5,9.5,18169.07,21436,5237.93,0,7.6000000000000005,38975.247807228923,,
2,,,,,,,,,,*,,,,LINEA,0,0,0,,
2.1,ALAMBRE GALVANIZADO,ALA,4,3,1,ALA0403001,ALAMBRE GALVANIZADO CALIBRE 18,,Rollo,1.98,,2141.98,6674,4532.02,1.7808219178082192,1.584,7178.7196800000011,,
2.2,ALAMBRE GALVANIZADO,ALA,4,3,2,ALA0403002,ALAMBRE GALVANIZADO CALIBRE 18 DE SEGUNDA,25,Kg,,,25,0,0,0,0,0,,
3,,,,,,ALAMBRON,,,,*,,,,LINEA,0,0,0,,
3.1,,,,,,ALB0141004,"ALAMBRON 4,5 mm X 6 mts ",,Und,0,,3500,3500,0,1.375,0,0,,
3.2,,ALB,1,41,2,ALB0141003,"ALAMBRON 5,0 mm X 6 mts ",,Und,0,,99.99,100,0.010000000000005116,0,0,0,,
3.3,,,,,,ALB0141005,"ALAMBRON 5,2 mm X 6 mts",,Und,1.49,1.29,17346,91025,73679,0,1.192,76036.728,,
3.6,,,,,,ALB0141006,"ALAMBRON 6,0 mm X 6 mts",,Und,1.9,,44,45,1,0,1.52,0,,
3.4,ALAMBRON ESTRIADO ,ALB,1,41,1,ALB0141001,"ALAMBRON 7,0 mm X 6 mts ",ABILLA,Und,2.9,,414,417,3,0,2.32,0,,
3.5,ALAMBRON ESTRIADO ,ALB,1,41,2,ALB0141002,"ALAMBRON 9,0 mm X 6 mts ",40,Und,0,,40,0,0,0,0,0,,
4,,,,,,BARRAS,,,,*,,,,LINEA,0,0,15747.2,,
4.1,BARRA CUADRADA LISA ,BAR,1,1,1,BAR0101001,"BARRA CUADRADA LISA 12mm X 6,00 mts ",580,Und,8.58,7.5,1728,3738,2590,0,6.8640000000000008,30111.120000000003,,
4.2,BARRA REDONDA LISA ,BAR,1,3,1,BAR0103001,"BARRA REDONDA LISA 10mm X 6,00 mts ",10200,Und,4.4,3.16,549,0,9651,0,3.5200000000000005,13712.4,,
